2019-12-06 at 09:05:25 CST INFO  com.baiuait.search.controller.UserController.getUserByCookie @110 :-> getUserByCookie
2019-12-06 at 09:05:37 CST INFO  com.baiuait.search.controller.UserController.getUserByCookie @110 :-> getUserByCookie
2019-12-06 at 09:05:45 CST INFO  com.baiuait.search.controller.UserController.getUserByCookie @110 :-> getUserByCookie
2019-12-06 at 09:06:00 CST INFO  com.baiuait.search.controller.UserController.login @76 :-> login
2019-12-06 at 09:06:02 CST INFO  com.baiuait.search.controller.UrlsController.getUrlsByUserId @26 :-> getUrlsByUserId:2
2019-12-06 at 09:06:02 CST INFO  com.baiuait.search.controller.MemoController.getMemosByUserId @31 :-> getMemosByUserId:2
2019-12-06 at 09:06:08 CST INFO  com.baiuait.search.controller.MemoController.deleteMemo @67 :-> deleteMemo:31
2019-12-06 at 09:06:13 CST INFO  com.baiuait.search.controller.MemoController.addMemo @46 :-> addMemo:2
2019-12-06 at 09:06:15 CST INFO  com.baiuait.search.controller.MemoController.modifyMemoContent @106 :-> modifyMemoContent:32
2019-12-06 at 09:06:16 CST INFO  com.baiuait.search.controller.MemoController.modifyMemoContent @106 :-> modifyMemoContent:32
2019-12-06 at 09:06:16 CST INFO  com.baiuait.search.controller.MemoController.deleteMemo @67 :-> deleteMemo:32
